Nome do Evento;Link de Inscrição;Link da Imagem;Data;Horário;Cidade;Distância;Organizador;Preço;Link do Edital
CORRIDA VIVER MULHER 3ª EDIÇÃO;https://tiquet.com.br/evento/2026-13-corrida-viver-mulher-3a-edicao/;https://yata-apix-b6a73c78-1100-48ad-9374-0a41af79d029.s3-object.locaweb.com.br/d73c1e440e86409dbe69a2360318e328.png;29 de Março de 2026;;Campina Grande;;ANDREZA VELEZ;"Público 60+ — R$ 69,90; PCD — R$ 69,90; Público Geral — R$ 89,90; R$ 99,90; R$ 109,90";edital não encontrado
CORRIDA AUGUSTO DOS ANJOS;https://www.race83.com.br/evento/2026/corrida-de-rua/corrida-augusto-dos-anjos-2026;https://yata-apix-b6a73c78-1100-48ad-9374-0a41af79d029.s3-object.locaweb.com.br/746bf87f1c46472e9dc52d9a4b038db8.png;14 de Março de 2026;;Sapé;3km (caminhada), 6km (corrida);+ SPORTS;"6KM — PCD NAO CADEIRANTE (Anexar foto comprovante) — R$ 85,00; 6KM — PCD CADEIRANTE (Anexar foto comprovante) — R$ 85,00; CORRIDA KIDS — R$ 95,00; 6KM — PÚBLICO GERAL — R$ 120,00; 6KM — LOCAL (vide regulamento) — R$ 120,00; 3KM CAMINHADA — PÚBLICO GERAL — R$ 120,00";https://www.race83.com.br/painel/upload/doc/inscricao/doc-07-4c386efbcc667c4ae285453d3a191c97.pdf
3ª CORRIDA GUARDIÕES DO VALE;https://www.race83.com.br/evento/655/3-corrida-guardies-do-vale;https://yata-apix-b6a73c78-1100-48ad-9374-0a41af79d029.s3-object.locaweb.com.br/316ff055057b4d9bbbc3580e9c45b173.png;15 de Março de 2026;;Itabaiana;3km  (caminhada), 5km e 10km (corrida);8º BATALHÃO PMPB l AMEVP;"5KM — PCD NÃO CADEIRANTE — R$ 50,00; 10KM — PCD NÃO CADEIRANTE — R$ 50,00; 5KM — GERAL — R$ 100,00; 5KM — SEGURANÇA PÚBLICA — R$ 100,00; 10KM — GERAL — R$ 100,00; 10KM — SEGURANÇA PÚBLICA — R$ 100,00; 3KM CAMINHADA — CAMINHADA 3KM — R$ 100,00";https://www.race83.com.br/painel/upload/doc/inscricao/doc-07-5a7e2b23b28af4e7f90030f9bbbc6f9c.pdf
CORRIDA VIDA ATIVA;https://www.race83.com.br/evento/2026/corrida-de-rua/corrida-vida-ativa-2026;https://yata-apix-b6a73c78-1100-48ad-9374-0a41af79d029.s3-object.locaweb.com.br/411c131286c0478ea8d58c9115f0e8d3.png;22 de Março de 2026;;Ingá;3km, 5km e 10km (corrida);STUDIO VIDA ATIVA;"5KM — PCD NÃO CADEIRANTE — R$ 40,00; R$ 59,90; R$ 70,00; 3KM — PÚBLICO GERAL — R$ 80,00; 5KM — PÚBLICO GERAL — R$ 80,00; 10KM — PÚBLICO GERAL — R$ 80,00";https://www.race83.com.br/painel/upload/doc/inscricao/doc-07-85e2a6102b5f15935dc0f5833561eac4.pdf
CIRCUITO DAS ÁGUAS ETAPA JOÃO PESSOA;https://www.race83.com.br/evento/4719/circuito-das-guas-etapa-joo-pessoa-2026;https://yata-apix-b6a73c78-1100-48ad-9374-0a41af79d029.s3-object.locaweb.com.br/680dbfccc2dd488fa39e41becd579c87.png;22 de Março de 2026;;João Pessoa;5km e 10km (corrida);MOVE SPORTS;"5KM (Obrigatório 1kg de alimento na entrega de kit) — PÚBLICO GERAL — R$ 89,90; 5KM (Obrigatório 1kg de alimento na entrega de kit) — FUNCIONÁRIO CAGEPA (EXCLUSIVO) — R$ 89,90; 10KM (Obrigatório 1kg de alimento na entrega de kit) — PÚBLICO GERAL — R$ 89,90; 10KM (Obrigatório 1kg de alimento na entrega de kit) — FUNCIONÁRIO CAGEPA (EXCLUSIVO) — R$ 89,90";https://www.race83.com.br/painel/upload/doc/inscricao/doc-07-689ff4a9d61d3f74451ca905caa2fa08.pdf
CORRIDA DA UNIDADE;https://correparaiba.com.br/corrida-da-unidade;https://yata-apix-b6a73c78-1100-48ad-9374-0a41af79d029.s3-object.locaweb.com.br/b92d7c88572047e18e28b4cfe7518e20.png;29 de Março de 2026;;Pedras de Fogo;3km (corrida);ENCONTRO DE JOVENS COM CRISTO;"PCD 3KM FEMININO — R$ 40,00; PCD 3KM MASCULINO — R$ 40,00; CATEGORIA GERAL FEMININO – 3 KM: — R$ 80,00; CATEGORIA GERAL FEMININO – 5 KM: — R$ 80,00; CATEGORIA GERAL MASCULINO – 3 KM: — R$ 80,00; CATEGORIA GERAL MASCULINO – 5 KM: — R$ 80,00";edital não encontrado
2ª CORRIDA VIGOR RUN;https://www.timecrono.com.br/evento/5883/2-corrida-vigor-run;https://yata-apix-b6a73c78-1100-48ad-9374-0a41af79d029.s3-object.locaweb.com.br/335ad25e087a48ea861d8d2d8624e665.png;12 de Abril de 2026;;Caaporã;5km e 8km (corrida);FÁBIO SANTOS;"R$ 69,99; CORRIDA - 8 KM - (PÚBLICO GERAL) — ATLETA DE OUTRO MUNICÍPIO — R$ 79,99; CORRIDA - 8 KM - (RESIDENTE DE CAAPORÃ) — ATLETA LOCAL — R$ 79,99; CORRIDA - 5 KM - (PÚBLICO GERAL) — ATLETA DE OUTRO MUNICÍPIO — R$ 79,99; CORRIDA - 5 KM (RESIDENTE DE CAAPORÃ) — ATLETA LOCAL — R$ 79,99; CORRIDA - 8 KM - (ALUNO VIGOR) — ATLETA DO STUDIO VIGOR — R$ 79,99; CORRIDA - 5 KM - (ALUNO VIGOR) — ATLETA DO STUDIO VIGOR — R$ 79,99; 8 KM - PCD - CADEIRANTE — PCD - CADEIRANTE — R$ 79,99; 8 KM - PCD - NÃO CADEIRANTE — PCD - NÃO CADEIRANTE — R$ 79,99; 5 KM - PCD - CADEIRANTE — PCD - CADEIRANTE — R$ 79,99; 5 KM - PCD - NÃO CADEIRANTE — PCD - NÃO CADEIRANTE — R$ 79,99; R$ 89,99";edital não encontrado
1ª MEIA MARATONA DA BANANA;https://correparaiba.com.br/1-meia-maratona-da-banana;https://yata-apix-b6a73c78-1100-48ad-9374-0a41af79d029.s3-object.locaweb.com.br/9ce7c57555e94957933271f8ac4e3a36.png;12 de Abril de 2026;;Várzea de Sousa;5km, 10km e 21km (corrida);FRANCISCA GOMES;"GERAL 10KM – FEMININO — R$ 59,00; GERAL 10KM – MASCULINO — R$ 59,00; GERAL 21KM – FEMININO — R$ 59,00; GERAL 21KM – MASCULINO — R$ 59,00; GERAL 5KM – FEMININO — R$ 59,00; GERAL 5KM – MASCULINO — R$ 59,00; MASTER 45+ 10KM – FEMININO — R$ 59,00; MASTER 45+ 10KM – MASCULINO — R$ 59,00; MASTER 45+ 21KM – FEMININO — R$ 59,00; MASTER 45+ 21KM – MASCULINO — R$ 59,00; MASTER 45+ 5KM – FEMININO — R$ 59,00; MASTER 45+ 5KM – MASCULINO — R$ 59,00; PCD 10KM – FEMININO — R$ 59,00; PCD 10KM – MASCULINO — R$ 59,00; PCD 21KM – FEMININO — R$ 59,00; PCD 21KM – MASCULINO — R$ 59,00; PCD 5KM – FEMININO — R$ 59,00; PCD 5KM – MASCULINO — R$ 59,00";edital não encontrado
CIRCUITO DAS ESTAÇÕES OUTONO;https://www.circuitodasestacoes.com.br/joao-pessoa/outono;https://yata-apix-b6a73c78-1100-48ad-9374-0a41af79d029.s3-object.locaweb.com.br/78c175c535d944e5a9d9e466365f4447.png;29 de Março de 2026;;João Pessoa;5km e 10km (corrida);TTK MKT ESPORTIVO;R$ 119,90;edital não encontrado
LIVE! RUN XP;https://www.liverun.com.br/etapa/live-run-campina-grande-2026;https://yata-apix-b6a73c78-1100-48ad-9374-0a41af79d029.s3-object.locaweb.com.br/80e00bbce7f34e22a1a62a9d6320244c.png;29 de Março de 2026;;Campina Grande;50m à 400m (infantil), 5km e 10km (corrida);LIVE!;"R$ 70,00; R$ 119,90; R$ 159,90; R$ 169,90; R$ 179,90";edital não encontrado
28ª CORRIDA TELES ALBUQUERQUE;https://zeniteesportes.com/28a-corrida-teles-albuquerque-2025-nova-data;https://yata-apix-b6a73c78-1100-48ad-9374-0a41af79d029.s3-object.locaweb.com.br/10613c5eda814b18bdce4d6c86093000.png;12 de Abril de 2026;06:00;Campina Grande;5km e 10km (corrida);ZENITE ESPORTES;R$ 69,90;https://zeniteesportes.com/storage/download/regulamento_ta.pdf
5ª CORRIDA DO REI;https://zeniteesportes.com/corridadorei;https://yata-apix-b6a73c78-1100-48ad-9374-0a41af79d029.s3-object.locaweb.com.br/6c346d2a95054185a9494e8e8437f392.png;12 de Abril de 2026;06:30;Solânea;5km e 10km (corrida);REI SPORTS;R$ 89,90;https://zeniteesportes.com/storage/download/V2 - - Regulamento Corrida do Rei 2026.pdf
6ª CORRIDA DO TRABALHADOR;https://correparaiba.com.br/6-edicao-da-corrida-do-trabalhador;https://yata-apix-b6a73c78-1100-48ad-9374-0a41af79d029.s3-object.locaweb.com.br/c26b3484c61e49279db49bba68e3810a.png;01 de Maio de 2026;;Patos;1km (infantil), 5km e 10km (corrida);ALAN JONH;"CATEGORIA 10 KM GERAL FEMININO — R$ 90,00; CATEGORIA 10 KM GERAL MASCULINO — R$ 90,00; CATEGORIA 10 KM LOCAL FEMININO — R$ 90,00; CATEGORIA 10 KM LOCAL MASCULINO — R$ 90,00; CATEGORIA 5 KM GERAL FEMININO — R$ 90,00; CATEGORIA 5 KM GERAL MASCULINO — R$ 90,00; CATEGORIA 5 KM LOCAL FEMININO — R$ 90,00; CATEGORIA 5 KM LOCAL MASCULINO — R$ 90,00";edital não encontrado
LAGOSTA RUN ETAPA PESCA;https://www.timecrono.com.br/evento/lagosta-run-etapa-pesca-2026;https://yata-apix-b6a73c78-1100-48ad-9374-0a41af79d029.s3-object.locaweb.com.br/ba2c666488b8458cab91dbc935644b17.png;03 de Maio de 2026;;Pitimbu;3km (caminhada), 6km (corrida);MIQUEIAS MELO;"R$ 75,00; R$ 85,00; 3KM — Caminhada Local (Pitimbu) — R$ 95,00; 3KM — Caminhada Visitantes — R$ 95,00; 3KM — Caminhada PCD Local (Pitimbu) — R$ 95,00; 3KM — Caminhada PCD Visitantes — R$ 95,00; 6KM — Corrida Local (Pitimbu) — R$ 95,00; 6KM — Corrida Visitantes — R$ 95,00; 6KM — Corrida PCD Local (Pitimbu) — R$ 95,00; 6KM — Corrida PCD Visitantes — R$ 95,00; R$ 110,00; R$ 125,00";edital não encontrado
20ª CORRIDA DE TIRADENTES;https://zeniteesportes.com/corridadetiradentes;https://yata-apix-b6a73c78-1100-48ad-9374-0a41af79d029.s3-object.locaweb.com.br/58c2a7b4752e42e998705ee905368e0a.png;21 de Abril de 2026;06:00;Cabedelo;5km e 10km (corrida);PMPB;R$ 89,90;edital não encontrado
2ª RUN CORRENDO PARA CRISTO;https://zeniteesportes.com/2a-run-correndo-para-cristo;https://yata-apix-b6a73c78-1100-48ad-9374-0a41af79d029.s3-object.locaweb.com.br/3b391d325656427f9aaf07c500d1a5ad.png;21 de Abril de 2026;06:00;Guarabira;5km (corrida);EQUIPE CORRENDO PARA CRISTO;R$ 70,00;https://zeniteesportes.com/storage/download/REGULAMNETO FINAL-atualizado-ok.pdf
5ª EDIÇÃO DA TRAIL RUN SERTÃO;https://correparaiba.com.br/5-edicao-da-trail-run-sertao-etapa-varzea-da-ema-pb;https://yata-apix-b6a73c78-1100-48ad-9374-0a41af79d029.s3-object.locaweb.com.br/502a85ffc8fb4f45b110884a870d32f4.png;24 de Maio de 2026;;Várzea da Ema;;CORRE PARAÍBA;"7 KM PCD - FEMININO — R$ 34,95; 7 KM PCD - MASCULINO — R$ 34,95; 15 KM GERAL - FEMININO — R$ 69,90; 15 KM GERAL - MASCULINO — R$ 69,90; 15 KM SEGURANÇA PÚBLICA - FEMININO — R$ 69,90; 15 KM SEGURANÇA PÚBLICA - MASCULINO — R$ 69,90; 7 KM GERAL - FEMININO — R$ 69,90; 7 KM GERAL - MASCULINO — R$ 69,90; 7 KM SEGURANÇA PÚBLICA - FEMININO — R$ 69,90; 7 KM SEGURANÇA PÚBLICA - MASCULINO — R$ 69,90";edital não encontrado
2ª CORRIDA SOLIDÁRIA DE TIBIRI;https://www.084sports.com.br/evento/corridasolidriatibiri;https://yata-apix-b6a73c78-1100-48ad-9374-0a41af79d029.s3-object.locaweb.com.br/216a7303555444f39ea4852338cc6adf.png;17 de Maio de 2026;;Santa Rita;3km (caminhada), 5km (corrida);RICARDO SILVA;"CORRIDA 5KM — PCD SEM CAMISA — R$ 25,00; CAMINHADA 3KM — PCD SEM CAMISA — R$ 25,00; CORRIDA 5KM — PCD COM CAMISA — R$ 35,00; CAMINHADA 3KM — PCD COM CAMISA — R$ 35,00; CORRIDA 5KM — GERAL SEM CAMISA — R$ 50,00; CORRIDA 5KM — SEGURANÇA PÚBLICA SEM CAMISA — R$ 50,00; CAMINHADA 3KM — GERAL SEM CAMISA — R$ 50,00; CAMINHADA 3KM — SEGURANÇA PÚBLICA SEM CAMISA — R$ 50,00; CORRIDA 5KM — GERAL COM CAMISA — R$ 70,00; CORRIDA 5KM — SEGURANÇA PÚBLICA COM CAMISA — R$ 70,00; CAMINHADA 3KM — GERAL COM CAMISA — R$ 70,00; CAMINHADA 3KM — SEGURANÇA PÚBLICA COM CAMISA — R$ 70,00";edital não encontrado
21K DO CONDE ROTA DOS MIRANTES;https://www.race83.com.br/evento/2026/trail-run/21k-do-conde-rota-dos-mirantes-2026;https://yata-apix-b6a73c78-1100-48ad-9374-0a41af79d029.s3-object.locaweb.com.br/7f7a2ccfd33f4cb498696eeb3b541707.png;26 de Abril de 2026;;Conde;;MOVE SPORTS;"PÚBLICO GERAL — 7KM — R$ 138,90; PÚBLICO GERAL — 12KM — R$ 138,90; PÚBLICO GERAL — 21KM — R$ 150,90";https://www.race83.com.br/painel/upload/doc/inscricao/doc-07-df4f691adcf477750fb8c86b84a109f3.pdf
NIGHT RUN FEVER;https://www.nightrun.com.br/joao-pessoa/unica;https://yata-apix-b6a73c78-1100-48ad-9374-0a41af79d029.s3-object.locaweb.com.br/500ff9cd65534d2aa4def30e371303ad.png;16 de Maio de 2026;;João Pessoa;5km e 10km (corrida);ALÇANDO VOOS l TTK MKT ESPORTIVO;R$ 69,99;edital não encontrado
CIRCUITO DAS ÁGUAS ETAPA GUARABIRA;https://www.race83.com.br/evento/7219/circuito-das-guas-guarabira-2026;https://yata-apix-b6a73c78-1100-48ad-9374-0a41af79d029.s3-object.locaweb.com.br/e7897693f42a4a6eb50f9443e65c9da7.png;17 de Maio de 2026;;Guarabira;5km e 10km (corrida);MOVE SPORTS;"5KM (Obrigatório 1kg de alimento na entrega de kit) — PÚBLICO GERAL — R$ 89,90; 5KM (Obrigatório 1kg de alimento na entrega de kit) — FUNCIONÁRIO CAGEPA (EXCLUSIVO) — R$ 89,90; 10KM (Obrigatório 1kg de alimento na entrega de kit) — PÚBLICO GERAL — R$ 89,90; 10KM (Obrigatório 1kg de alimento na entrega de kit) — FUNCIONÁRIO CAGEPA (EXCLUSIVO) — R$ 89,90";https://www.race83.com.br/painel/upload/doc/inscricao/doc-07-8110c44d242b2449adfb050ec8fa3a20.pdf
CIRCUITO DAS ESTAÇÕES INVERNO;https://www.circuitodasestacoes.com.br/joao-pessoa/inverno;https://yata-apix-b6a73c78-1100-48ad-9374-0a41af79d029.s3-object.locaweb.com.br/36d7a57cb8f54180ad4d08e14bdd32e4.png;07 de Junho de 2026;;João Pessoa;5km e 10km (corrida);TTK MKT ESPORTIVO;R$ 119,90;edital não encontrado
CORRIDA EXTREMO ORIENTAL;https://zeniteesportes.com/extremooriental2026;https://yata-apix-b6a73c78-1100-48ad-9374-0a41af79d029.s3-object.locaweb.com.br/39ebd3f448154329b9083c785419d213.png;14 de Junho de 2026;06:00;João Pessoa;100m à 400m (infantil), 4km (caminhada), 7km (corrida);IDEAL FORMA;R$ 70,00;edital não encontrado
CIRCUITO DAS ESTAÇÕES PRIMAVERA;https://www.circuitodasestacoes.com.br/joao-pessoa/primavera;https://yata-apix-b6a73c78-1100-48ad-9374-0a41af79d029.s3-object.locaweb.com.br/dc746cf60bcb4bd985cc450a7105f22c.png;27 de Setembro de 2026;;João Pessoa;5km e 10km (corrida);TTK MKT ESPORTIVO;R$ 119,90;edital não encontrado
2ª CORRIDA SEM LIMITES;https://www.race83.com.br/evento/2026/corrida-de-rua/corrida-sem-limites-2026;https://yata-apix-b6a73c78-1100-48ad-9374-0a41af79d029.s3-object.locaweb.com.br/729bce9a2fd84747b80a84aa74785fa9.png;20 de Setembro de 2026;;Itabaiana;5km e 10km (corrida);SEM LIMITES;"5KM — PCD CADEIRANTE — R$ 42,50; 5KM — PCD NÃO CADEIRANTE — R$ 42,50; 5KM — PÚBLICO GERAL — R$ 85,00; 5KM — LOCAL — R$ 85,00; 10KM — PÚBLICO GERAL — R$ 85,00";https://www.race83.com.br/painel/upload/doc/inscricao/doc-07-b66eb5cf92102119e30aeca38987d1cd.pdf
CIRCUITO DAS ESTAÇÕES VERÃO;https://www.circuitodasestacoes.com.br/joao-pessoa/verao;https://yata-apix-b6a73c78-1100-48ad-9374-0a41af79d029.s3-object.locaweb.com.br/3346fa92adc94266b13a6ea7721cff27.png;13 de Dezembro de 2026;;João Pessoa;5km e 10km (corrida);TTK MKT ESPORTIVO;R$ 119,90;edital não encontrado
